pID,artID,upFrontDate,finalDate
1,1,2021-02-08,2021-07-08
2,2,2021-02-08,NULL
3,3,2021-02-08,2021-08-08
4,4,1921-03-11,NULL
5,5,1921-07-08,NULL
6,6,2021-05-04,2021-07-07
7,7,2021-07-07,NULL
8,8,2014-01-02,NULL
9,9,2015-01-01,NULL
10,10,2020-01-01,NULL
11,11,2021-01-01,2021-08-08
12,12,2021-08-01,NULL
13,13,2017-07-02,2020-08-09
14,14,2001-08-19,NULL
15,15,1999-07-10,NULL
16,16,1999-08-15,2020-07-07
17,17,1999-09-17,NULL
18,18,1999-10-21,NULL
19,19,2000-05-05,NULL
20,20,2000-12-12,2000-12-19
21,21,2016-01-01,NULL
22,22,2018-12-12,2020-12-10
23,23,1991-10-19,NULL
24,24,1993-03-04,NULL
25,25,1994-04-05,NULL
26,26,1993-07-29,NULL
27,27,1999-08-03,NULL
28,28,1995-09-12,2021-09-12
29,29,1995-09-12,NULL
30,30,1995-09-12,NULL
31,31,1995-09-12,NULL
32,32,1995-09-12,NULL
33,33,1995-09-12,NULL
34,34,1995-09-12,NULL
35,35,1995-09-12,2019-03-03
36,36,1995-09-12,NULL
37,37,1995-09-12,NULL
38,38,1995-09-12,2018-02-02
39,39,1995-09-12,NULL
40,40,2000-12-05,NULL
41,41,2020-07-02,NULL
42,42,2020-07-02,2020-10-10
43,43,2020-07-02,NULL
44,44,2000-09-15,NULL
45,45,2021-06-19,NULL
46,46,2016-08-20,NULL
47,47,2018-06-08,NULL
48,48,2011-07-11,NULL
49,49,2011-07-11,2020-08-09
50,50,2019-07-04,2020-08-09
51,51,2019-11-12,NULL
52,52,2020-12-12,NULL
53,53,2018-07-16,NULL
54,54,2021-08-09,NULL
55,55,2018-07-06,NULL
56,56,2020-04-07,NULL
57,57,2017-01-09,NULL
58,58,2021-01-08,NULL
59,59,2020-10-25,2021-01-01
60,60,2016-07-07,2018-09-10
